simp,freq,famsize,semrad,semfreq,semfamsize,phon,phonfreq,phonfam
螈,0.1086,1,虫,1653.4963,97,原,620.9185,3
孳,0.0642,1,子,6417.5605,26,兹,100.721,6
趔,0.0346,1,走,6645.7432,14,列,215.1111,7
趄,0.0296,1,走,6645.7432,14,且,1299.7877,15
蠕,3.2296,2,虫,1653.4963,97,需,36.5333,6
驸,0.237,1,马,1869.2049,34,付,161.8469,5
犸,3.6642,1,犭,1997.2346,39,马,4053.6296,7
撵,0.8296,0,扌,19245.0025,233,辇,0.8296,1
楣,0.6519,1,木,23327.0765,210,眉,24.7605,3
寞,82.879,3,宀,14193.9605,51,莫,681.284,14
榜,77.1062,10,木,23327.0765,210,旁,147.037,10
藿,0.321,1,艹,9164.7556,191,霍,1.8914,2
陀,16.6469,3,阝,12852.079,66,它,71.8667,10
邵,3.1852,0,阝,12852.079,66,召,2008.9086,12
鹏,8.9481,1,鸟,608.1975,42,朋,70.558,5
猥,10.1926,2,犭,1997.2346,39,畏,113.758,4
炯,1.1753,1,火,3108.6963,70,冋,1.8963,2
啧,6.6617,2,口,50016.563,297,责,97.0173,4
熬,73.7284,3,灬,6163.1901,20,敖,146.3012,7
蟑,3.5802,1,虫,1653.4963,97,章,50.8889,6
螂,4.7556,2,虫,1653.4963,97,郎,21.0914,4
徇,0.15310000000000001,1,彳,11952.2173,29,旬,36.558,5
潢,1.3284,1,氵,19088.7556,238,黄,55.8914,6
禄,53.9062,1,礻,4131.121,25,录,546.4494,5
赁,1.5654,1,贝,3940.7309,52,任,1.5654,1
箫,1.8667,1,⺮,5914.6074,56,肃,35.3432,3
镗,0.0444,0,钅,3731.8272,120,堂,142.0741,6
桔,9.6889,8,木,23327.0765,210,吉,833.2889,8
蓑,0.2864,1,艹,9164.7556,191,衰,0.2864,1
踞,0.7062,1,足,2994.2815,62,居,432,4
苣,0.9235,2,艹,9164.7556,191,巨,190.7654,6
嗟,0.9679,2,口,50016.563,297,差,40.7951,4
邱,4.4,1,阝,12852.079,66,丘,5.3778,2
嘈,5.8765,1,口,50016.563,297,曹,249.437,5
蜢,0.4642,1,虫,1653.4963,97,孟,77.7284,3
淆,1.4025,1,氵,19088.7556,238,肴,1.4025,1
厦,35.442,2,厂,1784.8691,17,夏,36.2716,3
涓,0.9086,0,氵,19088.7556,238,肙,33.1852,5
腭,0.1432,1,月,21151.9802,115,咢,11.6444,5
浏,9.0914,2,氵,19088.7556,238,刘,9.0914,1
铠,1.6,1,钅,3731.8272,120,岂,99.9556,5
睦,6.1679,1,目,12024.3309,58,坴,6.1679,1
忿,0.7309,2,心,19695.9012,59,分,903.2593,12
蹭,11.8222,1,足,2994.2815,62,曾,692.4988,7
闾,0.1284,0,门,3881.6296,28,吕,53.0074,3
煽,5.3284,2,火,3108.6963,70,扇,5.4222,2
徜,0.9136,1,彳,11952.2173,29,尚,1084.9827,12
徉,0.9333,1,彳,11952.2173,29,羊,2463.358,12
渲,1.8716,1,氵,19088.7556,238,宣,23.3235,5
鹫,0.4148,2,鸟,608.1975,42,就,0.6519,2
麸,0.4741,2,麦,109.1358,2,夫,186.4691,4
蚌,1.437,2,虫,1653.4963,97,丰,35.9802,2
啤,35.7926,6,口,50016.563,297,卑,307.4914,7
肋,5.6,4,月,21151.9802,115,力,305.6049,4
鸳,2.9728,1,鸟,608.1975,42,夗,90.4741,4
鸯,2.8889,1,鸟,608.1975,42,央,449.4074,7
萧,14.1877,3,艹,9164.7556,191,肃,35.3432,3
哔,2.0494,0,口,50016.563,297,毕,2.1481,2
螅,0.0395,1,虫,1653.4963,97,息,36.2914,3
皓,3.0025,1,白,33709.0272,11,告,616.8889,8
迭,4.0148,4,辶,28384.0494,81,失,49.5704,3
屎,62.4988,5,尸,2394.4642,27,尸,62.4988,1
唬,4.163,3,口,50016.563,297,虎,7.0667,2
葺,0.084,1,艹,9164.7556,191,咠,65.2,3
矾,0.3012,1,石,1850.5235,61,凡,709.9704,5
缥,0.9778,1,纟,11417.6494,100,票,297.3926,9
缈,1.037,1,纟,11417.6494,100,眇,11.037,2
苑,15.8667,1,艹,9164.7556,191,夗,90.4741,4
芹,8.0889,5,艹,9164.7556,191,斤,2763.679,8
绢,1.0173,2,纟,11417.6494,100,肙,33.1852,5
胯,1.2444,1,月,21151.9802,115,夸,46.7062,5
浦,26.9284,3,氵,19088.7556,238,甫,176.9333,10
俸,24.4494,1,亻,51543.5654,164,奉,221.2198,3
颚,1.0074,2,页,3263.0321,33,咢,11.6444,5
笆,1.1062,1,⺮,5914.6074,56,巴,5324.5086,12
讶,16.6963,2,讠,19842.7358,108,牙,575.3481,7
砍,14.963,3,石,1850.5235,61,欠,283.1852,5
锢,2.2568,1,钅,3731.8272,120,固,3.2099,2
孖,0.8296,0,子,6417.5605,26,子,814.879,6
炳,1.6099,1,火,3108.6963,70,丙,294.8148,3
